Order ID,Product,Category,Quantity Ordered,Price Each,Order Date,Purchase Address
1034,AAA Batteries (4-pack),Electronics,1.0,5.49,2025-02-12 20:25:47,"2427 Raymond Court, Candiceview, MN 82276"
1035,Coffee Maker,Home Appliances,4.0,89.99,2025-01-20 04:37:17,"Unit 1355 Box 2505, DPO AA 77507"
1036,USB-C Charging Cable,Electronics,5.0,11.95,2025-03-07 16:27:11,"36348 Turner Locks, Weaverview, WY 02100"
1037,Wool Socks,Clothing,2.0,7.99,2025-03-22 11:39:43,"4644 Anna Squares, North Brianmouth, MO 87413"
1038,ThinkPad Laptop,Electronics,5.0,999.99,2025-03-13 06:35:20,"6436 Allen Causeway, East William, OH 62820"
1039,Blender,Home Appliances,,39.99,2025-03-29 01:04:53,"44388 Robin Mews, West Natalie, MD 98776"
1040,Flatscreen TV,Electronics,3.0,300.0,2025-01-25 01:15:13,"107 Wise Pike Suite 505, North Jerry, TX 69645"
1041,Coffee Maker,Home Appliances,,89.99,2025-04-03 07:31:34,"702 Michelle Divide Apt. 961, Christophermouth, NH 72417"
1042,ThinkPad Laptop,Electronics,2.0,999.99,2025-02-27 01:26:44,"659 Snyder Groves Suite 149, Tonyaberg, MA 92260"
1043,Coffee Maker,Home Appliances,,89.99,2025-03-28 21:10:11,"96224 Hannah Junction Apt. 000, Maryberg, RI 42725"
1044,Coffee Maker,Home Appliances,4.0,89.99,2025-03-13 18:47:35,"5455 Ryan Spur, Port Christinefort, IN 50788"
1045,Coffee Maker,Home Appliances,1.0,89.99,2025-02-13 20:40:00,"5983 Williams Summit Suite 516, Lake Jamie, NJ 57625"
1046,Coffee Maker,Home Appliances,2.0,89.99,2025-02-02 02:08:01,"14448 Boone Union Suite 754, North Sarahaven, NV 93505"
1047,AAA Batteries (4-pack),Electronics,3.0,5.49,2025-03-08 10:50:49,
1048,USB-C Charging Cable,Electronics,5.0,11.95,2025-03-31 18:04:37,"298 James Place Suite 928, Lake Miranda, WI 77980"
1049,Flatscreen TV,Electronics,,300.0,2025-03-02 08:59:06,"USCGC Mccoy, FPO AA 57617"
1050,ThinkPad Laptop,Electronics,,999.99,2025-03-24 05:25:47,"Unit 5868 Box 1686, DPO AE 06808"
1051,Google Home Mini,Electronics,4.0,49.99,2025-01-22 04:52:34,"8045 Campbell Canyon, Port Kristiborough, MN 06411"
1052,ThinkPad Laptop,Electronics,2.0,999.99,2025-01-29 14:30:02,"8287 Gordon Squares, West Tiffany, ID 18784"
1053,AAA Batteries (4-pack),Electronics,,5.49,2025-03-08 03:51:14,"79590 Williams Unions Apt. 749, Johnside, NH 84860"
1054,Blender,Home Appliances,1.0,39.99,2025-03-22 06:09:12,"USNV Rogers, FPO AA 43670"
1055,T-Shirt,Clothing,,19.99,2025-02-02 22:14:22,"75383 Gavin Meadow Apt. 968, East Brittany, MO 25045"
1056,ThinkPad Laptop,Electronics,1.0,999.99,2025-02-19 20:16:22,"Unit 0213 Box 7234, DPO AP 76669"
1057,Wool Socks,Clothing,5.0,7.99,2025-03-16 02:05:46,"108 Natalie Haven Suite 303, Cantrellhaven, TN 15304"
1058,Flatscreen TV,Electronics,1.0,300.0,2025-03-25 23:27:57,"302 Brian Park, New Frederick, TN 20547"
1059,Bose Headphones,Electronics,3.0,99.99,2025-02-13 10:58:50,"2502 Wright Meadow Suite 926, West Melanie, ND 66142"
1060,ThinkPad Laptop,Electronics,4.0,999.99,2025-04-14 06:47:44,"385 Douglas Garden, West Brittanyhaven, MA 94453"
1061,Wool Socks,Clothing,4.0,7.99,2025-03-20 03:07:38,"47730 Douglas Pass, Johnsonside, AK 50932"
1062,Bose Headphones,Electronics,1.0,99.99,2025-01-22 20:39:50,"6242 Cook Bridge Apt. 989, Port Tiffanyberg, KY 86600"
1063,USB-C Charging Cable,Electronics,5.0,11.95,2025-02-18 20:59:21,"4097 Pennington Locks, South Peter, NC 92706"
1064,Google Home Mini,Electronics,2.0,49.99,2025-01-31 20:28:11,"8269 Carson Forest Suite 407, Stevehaven, MS 32004"
1065,ThinkPad Laptop,Electronics,1.0,999.99,2025-04-18 19:52:46,"571 Haley Throughway Suite 706, Townsendhaven, ID 98501"
1066,Blender,Home Appliances,5.0,39.99,2025-03-14 18:49:27,"PSC 0793, Box 8361, APO AE 19105"
1067,ThinkPad Laptop,Electronics,5.0,999.99,2025-03-31 01:58:10,"5046 Perez Trail, Andersonchester, NY 38131"
1068,USB-C Charging Cable,Electronics,5.0,11.95,2025-03-29 11:17:41,"9615 Gonzalez Groves, Lake Devinfurt, RI 67092"
1069,USB-C Charging Cable,Electronics,,11.95,2025-03-21 19:12:16,"USS Warner, FPO AE 18547"
1070,Flatscreen TV,Electronics,5.0,300.0,2025-03-03 11:32:50,"6067 Laura Dale Suite 212, South Amandachester, NE 94600"
1071,Bose Headphones,Electronics,1.0,99.99,2025-03-18 08:40:13,"2758 Smith Mountains, South Karen, FL 53340"
1072,Bose Headphones,Electronics,2.0,99.99,2025-02-09 01:04:47,"9241 Haley Brooks Apt. 236, Jacksonstad, AZ 05911"
1073,USB-C Charging Cable,Electronics,,11.95,2025-04-11 01:43:32,"27585 Carr Keys Suite 789, North Neil, MI 64881"
1074,Flatscreen TV,Electronics,,300.0,2025-02-26 08:22:03,"95064 Ashley Prairie, New Christine, ND 58245"
1075,Wool Socks,Clothing,2.0,7.99,2025-03-25 20:47:20,"2432 Hill Parks Suite 424, Ashleyville, FL 30051"
1076,USB-C Charging Cable,Electronics,1.0,11.95,2025-02-20 17:53:30,"Unit 6445 Box 5814, DPO AP 48644"
1077,Google Home Mini,Electronics,3.0,49.99,2025-04-14 21:57:27,"066 Medina Court, Davidmouth, VT 68267"
1078,Google Home Mini,Electronics,1.0,49.99,2025-03-25 10:09:59,"05658 Porter Greens Apt. 439, Mcgeeborough, GA 98447"
1079,USB-C Charging Cable,Electronics,3.0,11.95,2025-02-01 04:21:30,"477 Cisneros Ranch Suite 343, Jenniferstad, MI 49323"
1080,ThinkPad Laptop,Electronics,5.0,999.99,2025-01-23 07:52:28,"4962 Frazier Highway Suite 128, South Williamborough, MI 51703"
1081,AAA Batteries (4-pack),Electronics,,5.49,2025-01-18 07:12:25,"36020 Isabel Park, East Tina, AZ 63180"
1082,Flatscreen TV,Electronics,5.0,300.0,2025-03-22 07:07:08,"081 Richard Lodge, New Wendy, UT 01690"
1083,T-Shirt,Clothing,1.0,19.99,2025-04-08 05:37:05,"01870 Renee Mews, Hensleyburgh, LA 89940"
1084,AAA Batteries (4-pack),Electronics,4.0,5.49,2025-04-05 16:22:42,"USS Taylor, FPO AP 13047"
1085,Google Home Mini,Electronics,2.0,49.99,2025-02-15 06:11:31,"53722 Levi Springs Suite 604, Robersonmouth, MS 51642"
1086,AAA Batteries (4-pack),Electronics,3.0,5.49,2025-01-29 06:59:28,"65347 Williams Vista, East Christopherchester, MT 98731"
1087,Bose Headphones,Electronics,3.0,99.99,2025-03-20 10:32:20,"70782 Daniel Route Apt. 835, Henryburgh, IN 78361"
1088,Bose Headphones,Electronics,4.0,99.99,2025-01-31 08:01:29,"PSC 1543, Box 3159, APO AA 14553"
1089,Coffee Maker,Home Appliances,5.0,89.99,2025-03-05 06:27:19,"6520 Barnett Place, Woodsfurt, NY 94018"
1090,Flatscreen TV,Electronics,3.0,300.0,2025-04-02 00:13:18,"0244 Osborne Fall Apt. 508, New Dylanstad, TN 75607"
1091,ThinkPad Laptop,Electronics,4.0,999.99,2025-04-03 04:53:42,"Unit 2849 Box 3661, DPO AA 70255"
1092,AAA Batteries (4-pack),Electronics,3.0,5.49,2025-04-07 13:53:32,"910 Thomas Flat, Port John, SC 16918"
1093,,Electronics,4.0,300.0,2025-04-18 07:43:31,"870 Davis Spurs, South Adam, MA 66991"
1094,Bose Headphones,Electronics,,99.99,2025-03-29 19:55:52,"55097 Alexander Brooks Apt. 894, South Robinview, WI 20097"
1095,Wool Socks,Clothing,4.0,7.99,2025-03-01 09:09:33,"097 Christopher Trace, Stevenbury, NV 70470"
1096,Blender,Home Appliances,4.0,39.99,2025-03-03 06:50:36,"16890 Nelson Manor Apt. 252, West Stacyfurt, IA 09182"
1097,Google Home Mini,Electronics,,49.99,2025-04-14 22:41:51,"6840 Hayes Streets Apt. 827, South Jesse, MD 20228"
1098,Google Home Mini,Electronics,5.0,49.99,2025-02-01 16:17:18,"8312 Zimmerman Land Suite 843, North Traci, NJ 19337"
1099,Flatscreen TV,Electronics,1.0,300.0,2025-03-17 10:50:03,"648 Black Harbor Apt. 466, Danielhaven, NV 91547"
1100,USB-C Charging Cable,Electronics,5.0,11.95,2025-04-09 16:22:37,"0509 Lauren Street Suite 496, Lake Danaland, NV 62768"
1101,Blender,Home Appliances,4.0,39.99,2025-02-18 01:50:18,"815 Raven Gateway Apt. 712, North John, RI 49448"
1102,Google Home Mini,Electronics,5.0,49.99,2025-02-02 21:51:22,"678 Eaton Lodge, Lake Gregory, VT 73239"
1103,Wool Socks,Clothing,,7.99,2025-04-11 14:52:52,"21873 Thomas Valleys Suite 430, East Barbara, NY 33890"
1104,Bose Headphones,Electronics,2.0,99.99,2025-04-02 05:43:30,"69671 Gallegos Islands, South Lesliefort, MN 71371"
1105,USB-C Charging Cable,Electronics,1.0,11.95,2025-03-05 05:16:43,"17980 Timothy Passage, Richardsonfurt, HI 45038"
1106,USB-C Charging Cable,Electronics,5.0,11.95,2025-03-06 04:32:32,"319 Winters Wall Apt. 968, North Phillipshire, OR 63857"
1107,Wool Socks,Clothing,,7.99,2025-02-22 14:12:35,"30356 James Crescent, New Cathytown, FL 23412"
1108,USB-C Charging Cable,Electronics,2.0,11.95,2025-01-21 14:42:14,"77459 Vargas Extensions, Port Tony, ND 39930"
1109,AAA Batteries (4-pack),Electronics,5.0,5.49,2025-01-28 13:55:57,"348 Hoffman Meadow Suite 233, Port Danieltown, CT 74027"
1110,Google Home Mini,Electronics,4.0,49.99,2025-01-30 15:05:09,"548 Jones Rapids Apt. 045, South Sophiaview, MO 66848"
1111,Google Home Mini,Electronics,4.0,49.99,2025-02-04 19:34:42,"3288 Harris Forges, Kingmouth, PA 57864"
1112,T-Shirt,Clothing,,19.99,2025-03-24 18:19:25,"1865 Moore Junctions Suite 813, Michaelfort, HI 23371"
1113,Coffee Maker,Home Appliances,1.0,89.99,2025-01-27 07:33:13,"277 Moore Inlet, Veronicastad, FL 11749"
1114,T-Shirt,Clothing,3.0,19.99,2025-02-23 03:12:34,"938 John Extensions, Smithmouth, VA 72916"
1115,T-Shirt,Clothing,5.0,19.99,2025-03-16 20:06:07,"41196 Robinson Cliff Suite 155, Montesfort, KY 60768"
1116,Flatscreen TV,Electronics,3.0,300.0,2025-01-24 01:56:42,"98932 Debbie Highway, Heatherburgh, PA 39796"
1117,Flatscreen TV,Electronics,2.0,300.0,2025-04-05 15:58:38,"892 Robert Islands, Poncetown, AR 40580"
1118,Wool Socks,Clothing,4.0,7.99,2025-03-04 15:58:09,"68059 Johnny Glen Suite 491, North Sarah, WA 78626"
1119,Coffee Maker,Home Appliances,,89.99,2025-03-25 02:50:17,"276 Martinez Alley, Mercadoshire, NJ 56392"
1120,Wool Socks,Clothing,3.0,7.99,2025-02-16 02:47:48,"952 Tanner Track, Sabrinaland, MT 27601"
1121,USB-C Charging Cable,Electronics,5.0,11.95,2025-03-19 23:55:35,"1439 Armstrong Inlet, Joycemouth, UT 71923"
1122,Blender,Home Appliances,5.0,39.99,2025-04-17 13:21:42,"11067 Silva Vista, East Jasonhaven, TX 09955"
1123,ThinkPad Laptop,Electronics,2.0,999.99,2025-02-13 13:26:42,"74364 Meyers Viaduct, Briggsside, KY 05699"
1124,Google Home Mini,Electronics,,49.99,2025-03-24 08:59:06,"63735 Harrison Junctions Apt. 474, Savannahstad, CO 78585"
1125,Google Home Mini,Electronics,5.0,49.99,2025-04-17 16:44:01,"29464 Margaret Path, North Aaronview, NE 59762"
1126,T-Shirt,Clothing,5.0,19.99,2025-03-06 09:25:19,"080 Victoria Grove Suite 749, Richardsberg, CT 22563"
1127,Bose Headphones,Electronics,5.0,99.99,2025-03-16 19:13:51,"Unit 9587 Box 5059, DPO AP 32324"
1128,Coffee Maker,Home Appliances,,89.99,2025-04-17 08:35:22,"362 Stewart Village Suite 256, North Jennifer, GA 81032"
1129,Blender,Home Appliances,5.0,39.99,2025-03-05 21:03:37,"46655 Katherine Walks Suite 964, Graymouth, MD 17907"
1130,Blender,Home Appliances,5.0,39.99,2025-01-26 21:12:31,"32541 Lisa Valley, Lake Lynn, WY 36174"
1131,T-Shirt,Clothing,4.0,19.99,2025-02-03 10:05:50,"2147 Jackson Tunnel Suite 098, Gonzalezville, SC 67386"
1132,,Electronics,2.0,11.95,2025-02-25 16:20:51,"5167 James Glen, Suarezfurt, WV 28709"
1133,Wool Socks,Clothing,5.0,7.99,2025-03-08 14:30:04,"726 Johnson Circles, Marychester, HI 75034"
1134,Bose Headphones,Electronics,5.0,99.99,2025-03-15 04:45:18,"038 Jackson View Apt. 657, East Elizabeth, MN 44226"
1135,,Home Appliances,3.0,39.99,2025-03-06 15:06:19,"677 Chase Cliff, South Christinahaven, CO 44028"
1136,T-Shirt,Clothing,5.0,19.99,2025-03-18 00:07:34,"68104 Johnson Points, Ericfort, TN 14219"
1137,Bose Headphones,Electronics,5.0,99.99,2025-02-26 19:09:05,"551 Alex Ways, Lake Jay, MD 74426"
1138,Flatscreen TV,Electronics,1.0,300.0,2025-04-12 20:09:28,"94443 Walker Overpass Apt. 262, East Lisaport, WV 85904"
1139,Google Home Mini,Electronics,2.0,49.99,2025-01-29 08:53:39,"773 Michelle Inlet Suite 061, West Amybury, NE 23600"
1140,T-Shirt,Clothing,1.0,19.99,2025-04-01 20:41:41,"7051 Cynthia Terrace Apt. 186, Lake Jamesstad, DE 94242"
1141,USB-C Charging Cable,Electronics,3.0,11.95,2025-04-04 15:14:36,"204 Chelsea Gateway, North Briannabury, AK 04525"
1142,Bose Headphones,Electronics,2.0,99.99,2025-03-28 19:30:40,"776 Kim Villages Suite 577, Bergerport, KY 41215"
1143,ThinkPad Laptop,Electronics,3.0,999.99,2025-03-25 09:46:35,"477 Dustin Skyway, Scottmouth, VT 98053"
1144,ThinkPad Laptop,Electronics,4.0,999.99,2025-02-21 13:00:25,"19334 Meagan Skyway Apt. 571, East Jenny, IA 35478"
1145,Wool Socks,Clothing,1.0,7.99,2025-03-22 20:11:15,"1872 Jonathan Lane, Andersonbury, ND 72841"
1146,T-Shirt,Clothing,2.0,19.99,2025-02-06 17:09:35,"USCGC Nelson, FPO AE 58281"
1147,Blender,Home Appliances,4.0,39.99,2025-01-26 10:39:47,"6706 Arthur Junction, East Kevin, NC 32684"
1148,Blender,Home Appliances,1.0,39.99,2025-03-10 13:23:38,"22021 Mary Estate, West Sandrafurt, NJ 87343"
1149,USB-C Charging Cable,Electronics,5.0,11.95,2025-03-17 15:19:41,"68312 Floyd Crest, Alexisfurt, ND 93036"
1150,Wool Socks,Clothing,5.0,7.99,2025-02-14 23:26:27,"63057 Carpenter Tunnel Suite 341, South Megantown, IA 38962"
1151,Google Home Mini,Electronics,5.0,49.99,2025-03-21 02:53:37,"381 Paul Oval Apt. 187, Holmesfurt, AR 03357"
1152,Coffee Maker,Home Appliances,3.0,89.99,2025-01-25 17:24:32,"17346 Stephanie Cape, East Jenniferton, NM 64148"
1153,Wool Socks,Clothing,,7.99,2025-04-03 20:40:23,"6716 Lewis Lock Apt. 581, Phyllismouth, MS 00916"
1154,Google Home Mini,Electronics,1.0,49.99,2025-04-12 20:45:57,"Unit 6086 Box 2364, DPO AE 07289"
1155,AAA Batteries (4-pack),Electronics,3.0,5.49,2025-03-21 08:08:00,"44377 Eric Centers, South Christopher, LA 45592"
1156,Wool Socks,Clothing,4.0,7.99,2025-04-03 02:11:34,"0883 Jacqueline Spring Suite 316, East Rachelborough, OK 37082"
1157,AAA Batteries (4-pack),Electronics,4.0,5.49,2025-04-06 15:32:37,"554 Andrea Mall, Port Adambury, HI 73857"
1158,USB-C Charging Cable,Electronics,2.0,11.95,2025-02-27 01:31:28,"272 Holly Loaf Apt. 674, Williamsport, WV 53038"
1159,Coffee Maker,Home Appliances,5.0,89.99,2025-01-22 14:24:21,"USCGC Meyer, FPO AE 46598"
1160,Flatscreen TV,Electronics,1.0,300.0,2025-04-03 15:50:07,"4185 Justin Summit Suite 657, West Sydney, NC 06386"
1161,T-Shirt,Clothing,4.0,19.99,2025-03-31 23:17:28,"9961 Blankenship Ways Suite 818, North Kelly, MN 39935"
1162,AAA Batteries (4-pack),Electronics,1.0,5.49,2025-02-13 04:36:33,"397 Charles Lane Suite 771, South Matthew, MS 23730"
1163,Wool Socks,Clothing,2.0,7.99,2025-03-10 08:54:41,"3203 Bridget Green, Jeffreyberg, AZ 21512"
1164,Flatscreen TV,Electronics,3.0,300.0,2025-01-30 15:40:38,"2996 Miranda Ford Suite 712, South Lisa, NM 98474"
1165,Coffee Maker,Home Appliances,4.0,89.99,2025-02-07 22:55:39,"1745 Baker Via, West Elizabeth, OR 36929"
1166,Flatscreen TV,Electronics,2.0,300.0,2025-02-26 09:06:17,"Unit 3509 Box 4053, DPO AA 87957"
1167,Google Home Mini,Electronics,4.0,49.99,2025-03-16 02:23:39,"1900 Angela Stream Suite 235, South John, CT 32601"
1168,AAA Batteries (4-pack),Electronics,,5.49,2025-01-26 12:08:02,"05003 Bass Inlet Apt. 387, West Greg, AZ 59401"
1169,Blender,Home Appliances,1.0,39.99,2025-02-20 22:09:29,"94189 Michael Parkways, Nathanielside, LA 17860"
1170,USB-C Charging Cable,Electronics,2.0,11.95,2025-03-20 20:49:05,"114 Nielsen Forks, West Michael, MD 60710"
1171,Blender,Home Appliances,4.0,39.99,2025-02-09 06:25:27,"04057 Maria Extension Apt. 610, Dominicmouth, VT 54986"
1172,Google Home Mini,Electronics,,49.99,2025-03-07 12:14:53,"9871 Andrews Fords Apt. 284, Kimberlyland, VT 11107"
1173,Coffee Maker,Home Appliances,4.0,89.99,2025-02-17 09:08:37,"753 Riley Junctions Suite 225, Schneiderton, OH 97996"
1174,Blender,Home Appliances,1.0,39.99,2025-02-27 17:31:03,"419 Ware Ports, Lake Eddie, MD 84821"
1175,T-Shirt,Clothing,1.0,19.99,2025-02-28 11:25:55,"4605 Bell Highway, North Rebeccaville, AR 45893"
1176,Bose Headphones,Electronics,1.0,99.99,2025-01-29 23:32:47,"984 Rodriguez Court, Port Ivanfort, KS 72411"
1177,Wool Socks,Clothing,5.0,7.99,2025-02-11 04:18:43,"63538 Todd Heights, Alexisside, WY 81065"
1178,T-Shirt,Clothing,4.0,19.99,2025-02-28 12:55:13,"2509 Stokes Lock, Mooreview, DE 63306"
1179,Bose Headphones,Electronics,3.0,99.99,2025-03-19 09:34:14,"378 Samuel Heights Suite 826, Justinfurt, NC 31741"
1180,Bose Headphones,Electronics,,99.99,2025-02-28 01:16:23,"682 Matthew Harbor Suite 825, Willisfurt, IL 84490"
1181,Bose Headphones,Electronics,3.0,99.99,2025-02-22 18:07:37,"91186 Daniel Villages Suite 643, Jonesburgh, AZ 17638"
1182,Blender,Home Appliances,,39.99,2025-03-29 07:42:10,"5349 Belinda Fords Suite 456, New Katrina, ID 99424"
1183,USB-C Charging Cable,Electronics,,11.95,2025-03-05 04:16:16,"99259 Morgan Isle, Thomasbury, NH 49549"
1184,ThinkPad Laptop,Electronics,2.0,999.99,2025-03-23 03:47:02,"6066 Julian Plaza Suite 162, South Paul, MI 82742"
1185,T-Shirt,Clothing,4.0,19.99,2025-04-01 06:59:55,"32655 Matthew Tunnel Apt. 760, Morganmouth, NY 31099"
1186,T-Shirt,Clothing,1.0,19.99,2025-04-05 06:02:39,"51253 Thompson Walks Apt. 040, Victormouth, MI 18796"
1187,USB-C Charging Cable,Electronics,5.0,11.95,2025-03-20 23:06:18,"583 Fleming Way Suite 210, East Dennisview, NC 61106"
1188,Google Home Mini,Electronics,1.0,49.99,2025-04-18 15:29:33,"46163 Angela Radial, Port Rhonda, FL 06484"
1189,Coffee Maker,Home Appliances,4.0,89.99,2025-02-21 23:35:50,"8667 Nixon Terrace, Jennifertown, DC 96204"
1190,USB-C Charging Cable,Electronics,5.0,11.95,2025-03-18 13:43:49,"726 Hunter Overpass, South Krista, TN 95094"
1191,USB-C Charging Cable,Electronics,,11.95,2025-03-05 14:41:13,"67241 Victoria Parks Suite 519, Duranton, NE 57208"
1192,T-Shirt,Clothing,4.0,19.99,2025-01-19 19:09:30,"75576 Berry Circles, West Tasha, VT 78136"
1193,T-Shirt,Clothing,3.0,19.99,2025-03-10 02:43:03,"4128 Tina Islands, North Robert, IL 57315"
1194,Flatscreen TV,Electronics,,300.0,2025-03-08 21:11:42,"457 George Mill, Steeleport, KY 30864"
1195,ThinkPad Laptop,Electronics,2.0,999.99,2025-02-14 06:27:46,"8793 Todd Pine, Jimenezville, RI 84099"
1196,ThinkPad Laptop,Electronics,2.0,999.99,2025-04-01 16:27:57,"0966 Rodriguez Forks, New Ryan, TN 46628"
1197,Google Home Mini,Electronics,2.0,49.99,2025-01-26 18:43:11,"288 David Tunnel, West Kimberly, AK 30261"
1198,Bose Headphones,Electronics,2.0,99.99,2025-03-24 22:50:25,"63746 Aaron Stream Apt. 096, New Lauren, KS 40781"
1199,Coffee Maker,Home Appliances,,89.99,2025-02-24 07:26:14,"958 Mark Grove, Nathanberg, RI 51120"
1200,Flatscreen TV,Electronics,4.0,300.0,2025-01-31 23:43:23,"4357 Ryan Square Apt. 692, Brownland, IN 38251"
1201,Wool Socks,Clothing,5.0,7.99,2025-02-12 23:13:03,"66313 Walter Rapids Apt. 848, Markshire, HI 49020"
1202,Flatscreen TV,Electronics,2.0,300.0,2025-03-20 03:27:51,"64290 Booth Lodge, Lamshire, FL 39748"
1203,T-Shirt,Clothing,2.0,19.99,2025-02-13 01:11:28,"33368 Peter Light Suite 189, Jessestad, ND 15553"
1204,AAA Batteries (4-pack),Electronics,4.0,5.49,2025-01-29 23:14:31,"02208 Todd Road, Laurieville, NC 63701"
1205,Wool Socks,Clothing,,7.99,2025-01-18 02:36:40,"864 Peterson Well, West Leslieside, OR 89669"
1206,Coffee Maker,Home Appliances,4.0,89.99,2025-03-13 18:25:15,"844 Snyder Trail Suite 976, Aguilarville, IN 23322"
1207,Blender,Home Appliances,2.0,39.99,2025-01-27 05:49:25,"67893 Perez Ford, North Suzanneshire, GA 92959"
1208,Google Home Mini,Electronics,,49.99,2025-04-18 03:12:17,"922 Scott Pine, Mckenziemouth, AL 61559"
1209,Bose Headphones,Electronics,4.0,99.99,2025-01-18 14:06:39,"003 Mendez Mews, Lutzmouth, ND 17063"
1210,Flatscreen TV,Electronics,,300.0,2025-03-26 05:44:13,"59909 Alex Forks Suite 456, South Jackhaven, LA 73857"
1211,ThinkPad Laptop,Electronics,2.0,999.99,2025-01-20 13:58:47,"9595 Elizabeth Circles Apt. 665, Alyssaberg, DE 26123"
1212,Wool Socks,Clothing,4.0,7.99,2025-03-21 05:10:32,"00809 Scott Courts, Hayesville, TN 63221"
1213,Flatscreen TV,Electronics,,300.0,2025-03-16 03:38:22,"14902 Harris Loaf, Fowlerside, ME 48292"
1214,Wool Socks,Clothing,3.0,7.99,2025-02-12 20:19:46,"52392 Bryant Valleys, Lake Melissaborough, LA 65101"
1215,Google Home Mini,Electronics,4.0,49.99,2025-01-18 01:44:10,"288 Richard Lodge, New Ericside, NY 99120"
